             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            185729     small   py-job k_shaw.i PD       0:00      1 (QOSMinCpuNotSatisfied)
            165158     small submit_j pawan_s. PD       0:00      1 (QOSMinCpuNotSatisfied)
            165157     small calculat pawan_s. PD       0:00      1 (QOSMinCpuNotSatisfied)
            165156     small calculat pawan_s. PD       0:00      1 (QOSMinCpuNotSatisfied)
            154113     small print-no r_moon.i PD       0:00      1 (QOSMinCpuNotSatisfied)
            153310     small  pcrcalc srikrish PD       0:00      1 (QOSMinCpuNotSatisfied)
            147365     small parallel pawan_s. PD       0:00      1 (QOSMinCpuNotSatisfied)
            147357     small   my_job pawan_s. PD       0:00      1 (QOSMinCpuNotSatisfied)
            184653     small      WPS msathyas PD       0:00      2 (QOSMinCpuNotSatisfied)
            146425     small tt_data_ snaveenk PD       0:00      4 (QOSMinCpuNotSatisfied)
            168007     small   comsol akumar17 PD       0:00      1 (QOSMinCpuNotSatisfied)
            183559     small partitio shivank_ PD       0:00      1 (QOSMinCpuNotSatisfied)
            183503     small partitio shivank_ PD       0:00      1 (QOSMinCpuNotSatisfied)
            191500     small comsol-s subham_k PD       0:00      2 (QOSMinCpuNotSatisfied)
            181704     small comsol-s subham_k PD       0:00      2 (QOSMinCpuNotSatisfied)
            169392     small comsol-s subham_k PD       0:00      2 (QOSMinCpuNotSatisfied)
            169391     small comsol-s subham_k PD       0:00      2 (QOSMinCpuNotSatisfied)
            193421     small snakejob satyanar PD       0:00      3 (PartitionTimeLimit)
            183560     small   sak.sh sakshi_s PD       0:00      1 (QOSMinCpuNotSatisfied)
            186737     small ESRRA_WL apoorva_ PD       0:00      1 (QOSMinCpuNotSatisfied)
            186666     small ESRRA_WL apoorva_ PD       0:00      1 (QOSMinCpuNotSatisfied)
            179534     small t2m_tp_2 divyam_g PD       0:00      2 (QOSMinCpuNotSatisfied)
            194603     small    AP2PM s_ahirwa PD       0:00      6 (Resources)
            194640     small        I shweta_c PD       0:00      3 (Priority)
            194661     small  AlTs.sh ankush_t PD       0:00      7 (Priority)
            194664     small  AlBr.sh ankush_t PD       0:00      5 (Priority)
            194589     small sturctur kunal.ii PD       0:00      5 (Priority)
            194653     small saurabh_ saurabh_ PD       0:00     10 (Priority)
            194545     small C0-a-g-a tulika.m PD       0:00      3 (Priority)
            194544     small   7Utool tulika.m PD       0:00      3 (Priority)
            194572     small pyrrol_n abhiruch PD       0:00      3 (Priority)
            194580     small pyrrol_n abhiruch PD       0:00      3 (Priority)
            194582     small pyrrol_n abhiruch PD       0:00      3 (Priority)
            194583     small pyrrol_n abhiruch PD       0:00      3 (Priority)
            194445     small      opt neha_s.i PD       0:00     10 (Priority)
            194177     small     Test soumendu PD       0:00      4 (QOSMaxJobsPerUserLimit)
            194472     small h_BNS_O2 hrithik. PD       0:00      3 (Priority)
            194474     small h_BNSH_O hrithik. PD       0:00      3 (Priority)
            194171     small     Test abhishek PD       0:00      4 (Priority)
            194170     small     Test abhishek PD       0:00      4 (Priority)
            194172     small     Test abhishek PD       0:00      4 (Priority)
            193921     small        4 rprakash PD       0:00      4 (Priority)
            193928     small Rand_020 midhun_a PD       0:00      5 (Priority)
            193929     small Rand_030 midhun_a PD       0:00      5 (Priority)
            194457     small  NA_fill a_sharma PD       0:00      5 (Priority)
            194473     small  NA_fill a_sharma PD       0:00      5 (Priority)
            193572     small   vasp_2 saumyar_ PD       0:00      3 (Priority)
            194066     small        6 vishal_k PD       0:00      4 (Priority)
            194065     small        5 vishal_k PD       0:00      4 (Priority)
            194069     small        7 vishal_k PD       0:00      4 (Priority)
            193692     small    PBE_1 saumyar_ PD       0:00      5 (Priority)
            193756     small  Ga_1200 saumyar_ PD       0:00      5 (Priority)
            193726     small        l shweta_c PD       0:00      5 (Priority)
            194234     small      ibi jyoti_b_ PD       0:00      5 (Priority)
            194237     small     ib-i jyoti_b_ PD       0:00      5 (Priority)
            194262     small        3 rprakash PD       0:00      4 (Priority)
            194398     small      iiO jyoti_b_ PD       0:00      5 (Priority)
            194025     small   lammps nandlal. PD       0:00     10 (Priority)
            194222     small   lammps nandlal. PD       0:00     10 (Priority)
            194602     small      Bdc jyoti_b_ PD       0:00      3 (Priority)
            194588     small      5ad dgupta.i PD       0:00      3 (Priority)
            194598     small indosurf dgupta.i PD       0:00      3 (Priority)
            194606     small shiwam_s shiwam_s PD       0:00     10 (Priority)
            193526     small jobscrip shaharia  R 2-12:03:33      5 cn[193-197]
